host-src-ip			host-dst-ip
128.110.0.32			128.110.0.11
128.110.0.33			128.110.0.11
128.110.0.35			128.110.0.11
128.110.0.36			128.110.0.11
128.110.0.37			128.110.0.11
128.110.0.41			128.110.0.11
128.110.0.32			128.110.0.49
128.110.0.33			128.110.0.49
128.110.0.35			128.110.0.49
128.110.0.36			128.110.0.49
128.110.0.37			128.110.0.49
128.110.0.41			128.110.0.49
128.110.0.11			128.110.0.49
128.110.0.49			128.110.0.11
128.110.0.37			128.110.0.32
128.110.0.37			128.110.0.33
128.110.0.37			128.110.0.49
128.110.0.37			128.110.0.41
128.110.0.41			128.110.0.11
128.110.0.41			128.110.0.35
128.110.0.41			128.110.0.32
128.110.0.41			128.110.0.37
128.110.0.36			128.110.0.11
128.110.0.36			128.110.0.49
128.110.0.36			128.110.0.35
128.110.0.35			128.110.0.49
128.110.0.35			128.110.0.36
