host-src-ip			host-dst-ip			host-src-port			host-dst-port			host-protocol			flow-size-in-bytes			flow-duration
192.168.1.10			192.168.1.255			17147			38073			TCP			879			5.7s
192.168.1.10			192.168.1.255			11342			32988			TCP			882			1.3s
192.168.1.10			192.168.1.255			13399			30185			TCP			991			5.5s
192.168.1.10			192.168.1.255			10411			30428			TCP			880			6.9s
192.168.1.10			192.168.1.255			10594			36281			TCP			818			1.0s
192.168.1.10			192.168.1.255			10280			36331			TCP			466			2.6s
192.168.1.10			192.168.1.255			16619			32261			TCP			450			5.6s
192.168.1.10			192.168.1.255			10117			36716			TCP			651			4.5s
192.168.1.10			192.168.1.255			14205			35450			TCP			945			1.4s
192.168.1.10			192.168.1.255			15116			32540			TCP			805			6.8s
192.168.1.10			192.168.1.255			17379			32343			TCP			738			2.1s
192.168.1.10			192.168.1.255			10558			31187			TCP			492			5.2s
192.168.1.10			192.168.1.255			14708			36153			TCP			472			5.8s
192.168.1.10			192.168.1.255			13209			32560			TCP			687			6.6s
192.168.1.10			192.168.1.255			14151			33880			TCP			510			5.2s
192.168.1.10			192.168.1.255			16747			33792			TCP			589			3.8s
192.168.1.10			192.168.1.255			18878			34009			TCP			962			6.2s
192.168.1.10			192.168.1.255			12978			31601			TCP			978			1.7s
192.168.1.10			192.168.1.255			11886			36911			TCP			689			6.7s
192.168.1.10			192.168.1.255			19631			31845			TCP			888			2.7s
192.168.1.10			192.168.1.255			16851			30903			TCP			635			3.7s
192.168.1.10			192.168.1.255			10617			31733			TCP			714			7.0s
192.168.1.10			192.168.1.255			18835			31471			TCP			582			6.0s
192.168.1.10			192.168.1.255			13919			31288			TCP			413			4.7s
192.168.1.10			192.168.1.255			10688			34848			TCP			636			4.0s
192.168.1.10			192.168.1.255			19527			37871			TCP			971			4.2s
192.168.1.10			192.168.1.255			18307			30436			TCP			922			2.5s
192.168.1.10			192.168.1.255			14609			33193			TCP			642			5.8s
192.168.1.10			192.168.1.255			16515			30193			TCP			478			2.0s
192.168.1.10			192.168.1.255			16665			34325			TCP			547			3.7s
192.168.1.10			192.168.1.255			17721			39308			TCP			679			4.3s
192.168.1.10			192.168.1.255			10037			34319			TCP			733			2.4s
192.168.1.10			192.168.1.255			15826			39954			TCP			926			3.4s
192.168.1.10			192.168.1.255			12978			33742			TCP			956			6.6s
192.168.1.10			192.168.1.255			17017			36082			TCP			478			1.0s
192.168.1.10			192.168.1.255			19445			34495			TCP			637			4.9s
192.168.1.10			192.168.1.255			17612			34010			TCP			429			3.1s
192.168.1.10			192.168.1.255			14847			35621			TCP			630			6.9s
192.168.1.10			192.168.1.255			11173			30133			TCP			578			7.1s
192.168.1.10			192.168.1.255			17254			35550			TCP			476			3.8s
192.168.1.10			192.168.1.255			16158			38734			TCP			981			5.8s
192.168.1.10			192.168.1.255			15381			37899			TCP			448			5.1s
192.168.1.10			192.168.1.255			16930			32352			TCP			975			6.1s
192.168.1.10			192.168.1.255			11169			38322			TCP			673			4.1s
192.168.1.10			192.168.1.255			19738			30140			TCP			666			5.4s
192.168.1.10			192.168.1.255			18346			34932			TCP			759			4.9s
192.168.1.10			192.168.1.255			10655			33508			TCP			574			7.1s
192.168.1.10			192.168.1.255			10100			34488			TCP			794			5.5s
192.168.1.10			192.168.1.255			15288			30826			TCP			685			7.0s
192.168.1.10			192.168.1.255			14752			36775			TCP			700			4.1s
192.168.1.10			192.168.1.255			18659			33531			TCP			487			5.7s
192.168.1.11			192.168.1.53			12266			39210			TCP			535			2.8s
192.168.1.11			192.168.1.53			11937			30238			TCP			980			4.2s
192.168.1.11			192.168.1.53			14200			39264			TCP			956			2.6s
192.168.1.11			192.168.1.53			17364			33663			TCP			480			2.9s
192.168.1.11			192.168.1.53			16477			39896			TCP			782			3.9s
192.168.1.11			192.168.1.53			11017			31902			TCP			491			7.3s
192.168.1.11			192.168.1.53			17848			36183			TCP			806			7.2s
192.168.1.11			192.168.1.53			11970			33234			TCP			829			5.4s
192.168.1.11			192.168.1.53			17320			33082			TCP			697			7.4s
192.168.1.11			192.168.1.53			16822			31024			TCP			791			5.3s
192.168.1.11			192.168.1.53			17022			31218			TCP			725			5.7s
192.168.1.11			192.168.1.53			15477			33613			TCP			489			6.8s
192.168.1.11			192.168.1.53			12273			30943			TCP			536			6.4s
192.168.1.11			192.168.1.53			14950			34575			TCP			916			7.1s
192.168.1.11			192.168.1.53			11283			38060			TCP			865			6.5s
192.168.1.11			192.168.1.53			17184			35430			TCP			614			1.9s
192.168.1.11			192.168.1.53			17207			34523			TCP			690			2.1s
192.168.1.11			192.168.1.53			15173			35946			TCP			586			6.9s
192.168.1.11			192.168.1.53			13331			30894			TCP			899			2.8s
192.168.1.11			192.168.1.53			14334			30607			TCP			955			6.1s
192.168.1.11			192.168.1.53			10929			38723			TCP			490			1.1s
192.168.1.11			192.168.1.53			16955			33079			TCP			735			6.2s
192.168.1.11			192.168.1.53			14974			34435			TCP			704			3.1s
192.168.1.11			192.168.1.53			18869			30139			TCP			859			6.7s
